chrom,chrom_len,start_pos,end_pos,rec_prob
1,274287863,1,49384,4.9384e-4
1,274287863,49385,381075,0.00331691
1,274287863,381076,477400,9.632499999999997e-4
1,274287863,477401,705066,0.00227666
1,274287863,705067,1189180,0.00484114
1,274287863,1189181,1208216,1.9036000000000053e-4
1,274287863,1208217,1289242,8.102600000000001e-4
1,274287863,1289243,1429782,0.001405400000000001
1,274287863,1429783,1684346,0.0025456399999999966
1,274287863,1684347,1826726,0.0014238000000000028
1,274287863,1826727,1920518,9.379199999999983e-4
1,274287863,1920519,1975567,5.504900000000007e-4
1,274287863,1975568,2034528,5.896100000000008e-4
1,274287863,2034529,2073186,3.8658000000000095e-4
1,274287863,2073187,2139822,6.663600000000013e-4
1,274287863,2139823,2272319,0.0013249699999999982
1,274287863,2272320,2292374,2.0055000000000073e-4
1,274287863,2292375,2316325,2.3950999999999834e-4
1,274287863,2316326,2330465,1.413999999999964e-4
1,274287863,2330466,2426611,9.614600000000008e-4
1,274287863,2426612,2501711,7.510000000000017e-4
1,274287863,2501712,2719245,0.0021753400000000013
1,274287863,2719246,2754517,3.5271999999999734e-4
1,274287863,2754518,2808072,5.355500000000027e-4
1,274287863,2808073,2843744,3.5672000000000134e-4
1,274287863,2843745,2908964,6.521999999999986e-4
1,274287863,2908965,3032017,0.0012305300000000005
1,274287863,3032018,3049425,1.740799999999966e-4
1,274287863,3049426,3073574,2.4149000000000045e-4
1,274287863,3073575,3123235,4.96610000000005e-4
1,274287863,3123236,3287812,0.0016457700000000013
1,274287863,3287813,3501012,0.002131999999999995
1,274287863,3501013,3669945,0.0016893299999999958
1,274287863,3669946,3690528,2.0583000000000407e-4
1,274287863,3690529,3743405,5.287700000000048e-4
1,274287863,3743406,3954380,0.0021097499999999936
1,274287863,3954381,4021303,6.692299999999998e-4
1,274287863,4021304,4048051,2.674800000000005e-4
1,274287863,4048052,4242302,0.0019425100000000015
1,274287863,4242303,4272698,3.0395999999999895e-4
1,274287863,4272699,4365512,9.281400000000009e-4
1,274287863,4365513,4489670,0.001241580000000006
1,274287863,4489671,4538447,4.8776999999999154e-4
1,274287863,4538448,4581420,0.00042973000000000317
1,274287863,4581421,4630008,4.8588000000000103e-4
1,274287863,4630009,4805474,0.001754660000000005
1,274287863,4805475,4842912,3.743799999999936e-4
1,274287863,4842913,4937587,9.467499999999962e-4
1,274287863,4937588,4981962,4.4375000000000664e-4
1,274287863,4981963,5023373,4.1411000000000225e-4
1,274287863,5023374,5064848,4.147499999999915e-4
1,274287863,5064849,5122948,5.810000000000051e-4
1,274287863,5122949,5194780,7.183199999999945e-4
1,274287863,5194781,5252209,5.742899999999981e-4
1,274287863,5252210,5354392,0.0010218300000000013
1,274287863,5354393,5370554,1.6162000000000815e-4
1,274287863,5370555,5405268,3.471400000000027e-4
1,274287863,5405269,5434442,2.9173999999999173e-4
1,274287863,5434443,5474620,4.017799999999974e-4
1,274287863,5474621,5567485,9.286500000000031e-4
1,274287863,5567486,5652125,8.463999999999972e-4
1,274287863,5652126,5681197,2.907200000000082e-4
1,274287863,5681198,5691907,1.0709999999999192e-4
1,274287863,5691908,5713576,2.166900000000055e-4
1,274287863,5713577,5728542,1.4966000000000285e-4
1,274287863,5728543,5744273,1.5730999999999384e-4
1,274287863,5744274,5754611,1.0338000000000014e-4
1,274287863,5754612,5770458,1.5847000000000083e-4
1,274287863,5770459,5837709,6.725100000000012e-4
1,274287863,5837710,5858089,2.0379999999999704e-4
1,274287863,5858090,5955790,9.770100000000073e-4
1,274287863,5955791,5994381,3.8590999999999626e-4
1,274287863,5994382,6018515,2.413399999999996e-4
1,274287863,6018516,6038840,2.0325000000000204e-4
1,274287863,6038841,6069393,3.055299999999983e-4
1,274287863,6069394,6111352,4.195900000000044e-4
1,274287863,6111353,6125550,1.4197999999999295e-4
1,274287863,6125551,6166403,4.0853000000000417e-4
1,274287863,6166404,6204660,3.825699999999918e-4
1,274287863,6204661,6221804,1.7144000000000187e-4
1,274287863,6221805,6241400,1.9596000000000197e-4
1,274287863,6241401,6260450,1.9049999999999623e-4
1,274287863,6260451,6293068,3.2618000000000924e-4
1,274287863,6293069,6315387,2.231899999999981e-4
1,274287863,6315388,6336162,2.0774999999999266e-4
1,274287863,6336163,6391784,5.5622000000001e-4
1,274287863,6391785,6423032,3.1248000000000387e-4
1,274287863,6423033,6435092,1.2059999999999849e-4
1,274287863,6435093,6451336,1.624399999999998e-4
1,274287863,6451337,6472959,2.162299999999978e-4
1,274287863,6472960,6495295,2.233599999999919e-4
1,274287863,6495296,6511328,1.603300000000002e-4
1,274287863,6511329,6532769,2.144099999999982e-4
1,274287863,6532770,6556136,2.3367000000000526e-4
1,274287863,6556137,6591689,3.555299999999928e-4
1,274287863,6591690,6613585,2.1896000000000415e-4
1,274287863,6613586,6633776,2.019099999999996e-4
1,274287863,6633777,6662020,2.824400000000088e-4
1,274287863,6662021,6679400,1.7380000000000173e-4
1,274287863,6679401,6702897,2.34970000000001e-4
1,274287863,6702898,6732845,2.9947999999999086e-4
1,274287863,6732846,6801744,6.889900000000004e-4
1,274287863,6801745,6825249,2.3505000000000054e-4
1,274287863,6825250,6849364,2.4114999999999553e-4
1,274287863,6849365,6864280,1.4916000000000929e-4
1,274287863,6864281,6920289,5.600899999999992e-4
1,274287863,6920290,6938746,1.8456999999999502e-4
1,274287863,6938747,6957985,1.9239000000000062e-4
1,274287863,6957986,6978760,2.0775000000000654e-4
1,274287863,6978761,7014234,3.547399999999923e-4
1,274287863,7014235,7018017,3.7830000000002584e-5
1,274287863,7018018,7037493,1.9476000000000215e-4
1,274287863,7037494,7067395,2.9901999999999707e-4
1,274287863,7067396,7092433,2.503799999999945e-4
1,274287863,7092434,7130736,3.830300000000064e-4
1,274287863,7130737,7245296,0.0011455999999999966
1,274287863,7245297,7266468,2.1171999999999858e-4
1,274287863,7266469,7315485,4.901699999999981e-4
1,274287863,7315486,7352295,3.681000000000101e-4
1,274287863,7352296,7390708,3.841299999999964e-4
1,274287863,7390709,7402285,1.1577000000000115e-4
1,274287863,7402286,7467812,6.552699999999995e-4
1,274287863,7467813,7492224,2.4412000000000045e-4
1,274287863,7492225,7525648,3.3423999999999954e-4
1,274287863,7525649,7560502,3.485399999999944e-4
1,274287863,7560503,7589521,2.901900000000096e-4
1,274287863,7589522,7615171,2.5649999999999284e-4
1,274287863,7615172,7689313,7.414200000000065e-4
1,274287863,7689314,7722553,3.323999999999966e-4
1,274287863,7722554,7752337,2.9783999999999367e-4
1,274287863,7752338,7790813,3.8476000000001176e-4
1,274287863,7790814,7827388,3.65749999999998e-4
1,274287863,7827389,7855602,2.8214000000000017e-4
1,274287863,7855603,7882995,2.739299999999917e-4
1,274287863,7882996,7887486,4.491000000000911e-5
1,274287863,7887487,7967395,7.990899999999884e-4
1,274287863,7967396,8026909,5.951400000000079e-4
1,274287863,8026910,8040507,1.3597999999999388e-4
1,274287863,8040508,8119410,7.8903000000001e-4
1,274287863,8119411,8258769,0.0013935899999999862
1,274287863,8258770,8382365,0.0012359600000000082
1,274287863,8382366,8386032,3.6670000000002534e-5
1,274287863,8386033,8504144,0.0011811199999999938
1,274287863,8504145,8537066,3.292199999999912e-4
1,274287863,8537067,8554166,1.7100000000001836e-4
1,274287863,8554167,8627107,7.294099999999998e-4
1,274287863,8627108,8777250,0.001501429999999998
1,274287863,8777251,8931065,0.001538150000000002
1,274287863,8931066,8992903,6.183800000000017e-4
1,274287863,8992904,9044222,5.131899999999828e-4
1,274287863,9044223,9059586,1.5364000000001043e-4
1,274287863,9059587,9066284,6.697999999999427e-5
1,274287863,9066285,9098857,3.257300000000102e-4
1,274287863,9098858,9156095,5.723799999999973e-4
1,274287863,9156096,9179040,2.2945000000000604e-4
1,274287863,9179041,9256560,7.751999999999898e-4
1,274287863,9256561,9365259,0.001086989999999996
1,274287863,9365260,9394902,2.964300000000003e-4
1,274287863,9394903,9412070,1.7168000000000738e-4
1,274287863,9412071,9448833,0.00036763000000000767
1,274287863,9448834,9601235,0.001524020000000001
1,274287863,9601236,9698458,9.722299999999906e-4
1,274287863,9698459,9725288,2.6830000000001297e-4
1,274287863,9725289,9739155,1.3866999999999352e-4
1,274287863,9739156,9768589,2.9433999999999017e-4
